event_id,user_id,session_id,event_timestamp,event_name,feature_name
1,1,1,2026-05-07 00:28:01,landing_page_view,
2,1,1,2026-05-07 00:33:01,signup_started,
3,1,1,2026-05-07 00:32:01,signup_completed,
4,1,1,2026-05-07 00:42:01,workspace_created,
5,1,1,2026-05-07 00:20:01,task_created,task_created
6,1,1,2026-05-07 00:23:01,task_created,task_created
7,1,2,2026-03-09 09:02:55,landing_page_view,
8,1,2,2026-03-09 09:34:55,signup_started,
9,1,2,2026-03-09 09:30:55,workspace_created,
10,1,2,2026-03-09 09:13:55,task_created,task_created
11,1,2,2026-03-09 09:22:55,task_created,task_created
12,1,2,2026-03-09 09:05:55,task_created,task_created
13,1,2,2026-03-09 09:09:55,feature_used,feature_used
14,1,2,2026-03-09 09:28:55,subscription_started,
15,1,2,2026-03-09 09:13:55,payment_completed,
16,1,3,2026-02-26 21:48:06,landing_page_view,
17,1,3,2026-02-26 22:14:06,signup_started,
18,1,3,2026-02-26 22:14:06,workspace_created,
19,1,3,2026-02-26 21:59:06,first_task_created,
20,1,3,2026-02-26 21:59:06,task_created,task_created
21,1,3,2026-02-26 21:51:06,task_created,task_created
22,1,4,2026-04-03 07:20:41,landing_page_view,
23,1,4,2026-04-03 07:18:41,signup_started,
24,1,4,2026-04-03 07:12:41,signup_completed,
25,1,4,2026-04-03 07:12:41,workspace_created,
26,1,4,2026-04-03 07:17:41,first_task_created,
27,1,4,2026-04-03 07:04:41,task_created,task_created
28,1,4,2026-04-03 07:08:41,task_created,task_created
29,1,4,2026-04-03 06:56:41,feature_used,feature_used
30,1,5,2026-05-08 21:57:24,landing_page_view,
31,1,5,2026-05-08 21:58:24,signup_started,
32,1,5,2026-05-08 21:42:24,signup_completed,
33,1,5,2026-05-08 21:43:24,task_created,task_created
34,1,6,2026-04-22 02:57:41,landing_page_view,
35,1,6,2026-04-22 02:59:41,signup_started,
36,1,6,2026-04-22 03:03:41,signup_completed,
37,1,6,2026-04-22 02:40:41,workspace_created,
38,1,6,2026-04-22 02:59:41,task_created,task_created
39,1,6,2026-04-22 02:46:41,task_created,task_created
40,1,6,2026-04-22 03:03:41,task_created,task_created
41,1,6,2026-04-22 02:52:41,task_created,task_created
42,1,6,2026-04-22 02:38:41,feature_used,feature_used
43,1,6,2026-04-22 02:49:41,subscription_started,
44,2,7,2026-03-28 00:53:37,landing_page_view,
45,2,7,2026-03-28 00:53:37,signup_completed,
46,2,7,2026-03-28 00:51:37,task_created,task_created
47,2,7,2026-03-28 00:49:37,task_created,task_created
48,2,7,2026-03-28 00:51:37,task_created,task_created
49,2,7,2026-03-28 00:53:37,task_created,task_created
50,2,8,2026-03-20 18:03:42,landing_page_view,
51,2,8,2026-03-20 18:02:42,signup_started,
52,2,8,2026-03-20 17:54:42,feature_used,feature_used
53,3,9,2026-03-01 08:44:55,landing_page_view,
54,3,9,2026-03-01 08:42:55,signup_started,
55,3,9,2026-03-01 08:41:55,signup_completed,
56,3,9,2026-03-01 08:43:55,workspace_created,
57,3,9,2026-03-01 08:39:55,subscription_started,
58,3,9,2026-03-01 08:42:55,payment_completed,
59,4,10,2026-05-12 13:43:18,landing_page_view,
60,4,10,2026-05-12 13:38:18,signup_started,
61,4,10,2026-05-12 13:41:18,signup_completed,
62,4,10,2026-05-12 13:51:18,feature_used,feature_used
63,4,10,2026-05-12 13:33:18,subscription_started,
64,4,10,2026-05-12 14:08:18,payment_completed,
65,4,11,2026-05-17 20:36:49,landing_page_view,
66,4,11,2026-05-17 21:11:49,signup_started,
67,4,11,2026-05-17 21:00:49,signup_completed,
68,4,11,2026-05-17 21:17:49,workspace_created,
69,4,11,2026-05-17 21:11:49,first_task_created,
70,4,11,2026-05-17 21:05:49,task_created,task_created
71,4,11,2026-05-17 21:18:49,task_created,task_created
72,4,11,2026-05-17 20:58:49,task_created,task_created
73,4,11,2026-05-17 21:18:49,feature_used,feature_used
74,4,12,2026-03-25 04:36:09,landing_page_view,
75,4,12,2026-03-25 04:37:09,signup_started,
76,4,12,2026-03-25 04:16:09,signup_completed,
77,4,12,2026-03-25 04:23:09,task_created,task_created
78,4,12,2026-03-25 04:21:09,task_created,task_created
79,4,12,2026-03-25 04:19:09,task_created,task_created
80,4,12,2026-03-25 04:30:09,task_created,task_created
81,4,12,2026-03-25 04:25:09,feature_used,feature_used
82,4,12,2026-03-25 04:29:09,subscription_started,
83,4,13,2026-03-28 09:44:19,landing_page_view,
84,4,13,2026-03-28 10:16:19,signup_started,
85,4,13,2026-03-28 09:48:19,signup_completed,
86,4,13,2026-03-28 10:13:19,subscription_started,
87,4,13,2026-03-28 10:11:19,payment_completed,
88,5,14,2026-05-11 08:04:21,landing_page_view,
89,5,14,2026-05-11 07:50:21,signup_started,
90,5,14,2026-05-11 07:59:21,signup_completed,
91,5,14,2026-05-11 07:50:21,first_task_created,
92,5,14,2026-05-11 08:05:21,task_created,task_created
93,5,14,2026-05-11 07:59:21,task_created,task_created
94,5,14,2026-05-11 07:53:21,task_created,task_created
95,5,14,2026-05-11 08:05:21,feature_used,feature_used
96,6,15,2026-04-04 05:40:52,landing_page_view,
97,6,15,2026-04-04 05:53:52,signup_started,
98,6,15,2026-04-04 05:49:52,workspace_created,
99,6,15,2026-04-04 05:44:52,first_task_created,
100,6,15,2026-04-04 05:42:52,task_created,task_created
101,6,15,2026-04-04 05:52:52,task_created,task_created
102,6,15,2026-04-04 05:44:52,task_created,task_created
103,6,15,2026-04-04 05:45:52,task_created,task_created
104,6,15,2026-04-04 05:54:52,task_created,task_created
105,6,15,2026-04-04 05:53:52,feature_used,feature_used
106,7,16,2026-03-02 08:40:16,landing_page_view,
107,7,16,2026-03-02 08:45:16,signup_started,
108,7,16,2026-03-02 08:41:16,workspace_created,
109,7,16,2026-03-02 08:28:16,first_task_created,
110,7,16,2026-03-02 08:33:16,task_created,task_created
111,7,16,2026-03-02 08:37:16,task_created,task_created
112,7,16,2026-03-02 08:35:16,feature_used,feature_used
113,8,17,2026-03-06 00:18:00,landing_page_view,
114,8,17,2026-03-06 00:19:00,signup_started,
115,8,17,2026-03-06 00:23:00,signup_completed,
116,8,17,2026-03-06 00:20:00,task_created,task_created
117,8,17,2026-03-06 00:19:00,task_created,task_created
118,8,17,2026-03-06 00:26:00,task_created,task_created
119,8,17,2026-03-06 00:26:00,task_created,task_created
120,8,17,2026-03-06 00:18:00,subscription_started,
121,8,17,2026-03-06 00:19:00,payment_completed,
122,9,18,2026-04-25 09:59:36,landing_page_view,
123,9,18,2026-04-25 09:52:36,signup_started,
124,9,18,2026-04-25 09:58:36,signup_completed,
125,9,18,2026-04-25 09:59:36,task_created,task_created
126,9,18,2026-04-25 09:57:36,task_created,task_created
127,9,18,2026-04-25 09:51:36,task_created,task_created
128,9,18,2026-04-25 10:01:36,task_created,task_created
129,9,18,2026-04-25 09:52:36,feature_used,feature_used
130,9,18,2026-04-25 09:59:36,subscription_started,
131,9,18,2026-04-25 10:01:36,payment_completed,
132,10,19,2026-05-03 04:39:47,landing_page_view,
133,10,19,2026-05-03 04:36:47,signup_started,
134,10,19,2026-05-03 04:55:47,signup_completed,
135,10,19,2026-05-03 04:53:47,workspace_created,
136,10,19,2026-05-03 04:50:47,first_task_created,
137,10,19,2026-05-03 04:35:47,task_created,task_created
138,10,19,2026-05-03 04:41:47,task_created,task_created
139,10,19,2026-05-03 04:53:47,task_created,task_created
140,10,19,2026-05-03 04:40:47,task_created,task_created
141,10,19,2026-05-03 04:43:47,task_created,task_created
142,10,19,2026-05-03 04:41:47,feature_used,feature_used
143,10,20,2026-03-19 15:00:40,landing_page_view,
144,10,20,2026-03-19 14:48:40,signup_started,
145,10,20,2026-03-19 14:51:40,signup_completed,
146,10,20,2026-03-19 15:01:40,workspace_created,
147,10,20,2026-03-19 14:43:40,first_task_created,
148,10,20,2026-03-19 15:02:40,feature_used,feature_used
149,10,20,2026-03-19 15:01:40,subscription_started,
150,10,20,2026-03-19 14:43:40,payment_completed,
151,10,21,2026-03-02 19:54:54,landing_page_view,
152,10,21,2026-03-02 19:32:54,signup_completed,
153,10,21,2026-03-02 19:56:54,workspace_created,
154,10,21,2026-03-02 19:45:54,first_task_created,
155,10,21,2026-03-02 19:34:54,task_created,task_created
156,10,21,2026-03-02 19:51:54,task_created,task_created
157,10,21,2026-03-02 19:34:54,task_created,task_created
158,10,21,2026-03-02 19:59:54,feature_used,feature_used
159,10,22,2026-03-01 10:20:01,landing_page_view,
160,10,22,2026-03-01 10:14:01,signup_started,
161,10,22,2026-03-01 10:14:01,workspace_created,
162,10,22,2026-03-01 10:14:01,task_created,task_created
163,10,22,2026-03-01 10:03:01,task_created,task_created
164,10,22,2026-03-01 10:24:01,task_created,task_created
165,10,22,2026-03-01 10:15:01,task_created,task_created
166,10,22,2026-03-01 10:24:01,task_created,task_created
167,10,22,2026-03-01 10:23:01,feature_used,feature_used
168,10,22,2026-03-01 10:08:01,subscription_started,
169,10,22,2026-03-01 10:20:01,payment_completed,
170,10,23,2026-03-01 09:41:09,landing_page_view,
171,10,23,2026-03-01 09:47:09,signup_started,
172,10,23,2026-03-01 09:48:09,signup_completed,
173,10,23,2026-03-01 09:44:09,workspace_created,
174,10,23,2026-03-01 09:45:09,first_task_created,
175,10,23,2026-03-01 09:52:09,task_created,task_created
176,10,23,2026-03-01 09:55:09,task_created,task_created
177,10,23,2026-03-01 09:43:09,task_created,task_created
178,10,23,2026-03-01 09:49:09,task_created,task_created
179,10,23,2026-03-01 09:38:09,feature_used,feature_used
180,10,24,2026-04-09 04:01:49,landing_page_view,
